position,code,media,bucket,school
366,DJ9436583,9.27,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
367,DJ9439479,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
368,DJ9560710,9.27,FAR_RURAL,"ȘCOALA GIMNAZIALĂ LEȘILE"
369,DJ9181064,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
370,DJ9446239,9.27,CRAIOVA,"COLEGIUL NAȚIONAL PEDAGOGIC ""ȘTEFAN VELOVAN"" CRAIOVA"
371,DJ201851,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
372,DJ279851,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. GHEORGHE"" CRAIOVA"
373,DJ8763323,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
374,DJ9731428,9.27,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
375,DJ9442860,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
376,DJ9494212,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
377,DJ12324396,9.27,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
378,DJ7896413,9.27,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
379,DJ9449161,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
380,DJ12329036,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
381,DJ8895716,9.25,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
382,DJ9444599,9.25,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
383,DJ10153049,9.25,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
384,DJ204451,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
385,DJ9200139,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIHAI VITEAZUL"" CRAIOVA"
386,DJ12615576,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
387,DJ8757518,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
388,DJ9261620,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
389,DJ9679387,9.25,FAR_RURAL,"ȘCOALA GIMNAZIALĂ ""NICOLAE CARAȘ"" CIUPERCENII NOI"
390,DJ9091472,9.25,CRAIOVA,"COLEGIUL NAȚIONAL ""FRAȚII BUZEȘTI"" CRAIOVA"
391,DJ8100708,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""ALEXANDRU MACEDONSKI"" CRAIOVA"
392,DJ9437384,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
393,DJ9442095,9.25,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
394,DJ9030036,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""MIRCEA ELIADE"" CRAIOVA"
395,DJ9313206,9.25,FAR_TOWN,"ȘCOALA GIMNAZIALĂ NR. 3 DĂBULENI"
396,DJ9389686,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""GHEORGHE ȚIȚEICA"" CRAIOVA"
397,DJ9453643,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""DECEBAL"" CRAIOVA"
398,DJ9538313,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
399,DJ8629415,9.25,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
400,DJ9322013,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE BĂLCESCU"" CRAIOVA"
401,DJ12616641,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""NICOLAE ROMANESCU"" CRAIOVA"
402,DJ9531991,9.25,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
403,DJ9587484,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. GHEORGHE"" CRAIOVA"
404,DJ8762700,9.25,CRAIOVA,"LICEUL TEORETIC ""TUDOR ARGHEZI"" CRAIOVA"
405,DJ272751,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
406,DJ9451187,9.25,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""SF. DUMITRU"" CRAIOVA"
407,DJ8237781,9.25,FAR_TOWN,"LICEUL TEORETIC ""INDEPENDENȚA"" CALAFAT"
408,DJ9445760,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TERRAVEDA"" CRAIOVA"
409,DJ3519251,9.22,CRAIOVA,"COLEGIUL NAȚIONAL ""CAROL I"" CRAIOVA"
410,DJ9698061,9.22,FAR_TOWN,"ȘCOALA GIMNAZIALĂ FILIAȘI"
411,DJ9098501,9.22,CRAIOVA,"ȘCOALA GIMNAZIALĂ ""TRAIAN"" CRAIOVA"
412,DJ9015542,9.22,CRAIOVA,"COLEGIUL NAȚIONAL ""ELENA CUZA"" CRAIOVA"
